1586886712.000000, 1586886712.000000, 1586886712.000000
32.000000, 32.000000, 32.000000
54,-36,109
-6,-45,111
-18,-36,104
2,-22,87
4,-15,65
7,-15,62
7,-15,57
8,-15,53
4,-19,47
6,-21,46
6,-23,48
5,-26,47
4,-27,44
7,-31,44
2,-36,47
2,-38,48
8,-40,48
10,-42,46
0,-47,39
-2,-52,39
-3,-55,38
-4,-65,34
-6,-69,30
-10,-67,27
-11,-70,26
-10,-68,28
-21,-68,25
-21,-64,21
-20,-62,14
-19,-63,14
-4,-61,19
-20,-65,6
-29,-71,-1
-14,-68,3
-21,-61,-9
-23,-62,-10
-35,-57,-12
-33,-55,-11
-25,-55,-6
-24,-56,-4
-36,-56,-7
-20,-60,9
-16,-60,2
-17,-59,-17
-21,-55,-34
-18,-54,-32
-11,-57,-20
-12,-59,-18
-16,-59,-18
-16,-59,-17
-15,-59,-20
-16,-57,-26
-17,-57,-23
-15,-56,-21
-15,-57,-26
-16,-58,-27
-16,-58,-21
-16,-58,-20
-16,-56,-23
-16,-56,-25
-17,-56,-24
-16,-57,-24
-17,-57,-25
-16,-57,-25
-15,-56,-23
-15,-56,-23
-15,-56,-25
-16,-56,-26
-16,-57,-24
-16,-56,-23
-17,-56,-26
-17,-56,-26
-16,-56,-26
-17,-56,-26
-16,-56,-25
-16,-56,-25
-17,-56,-27
-17,-56,-26
-16,-56,-24
-17,-56,-25
-17,-56,-26
-16,-56,-25
-16,-56,-24
-17,-56,-26
-17,-56,-26
-16,-57,-25
-16,-56,-23
-16,-56,-24
-16,-56,-25
-16,-56,-25
-16,-56,-24
-16,-56,-25
-16,-56,-25
-16,-57,-25
-16,-57,-25
-16,-56,-24
-16,-56,-24
-15,-55,-24
-16,-55,-26
-16,-56,-26
-16,-56,-24
-16,-56,-25
-16,-56,-26
-16,-56,-25
-16,-56,-24
-16,-56,-25
-16,-56,-25
-16,-56,-26
-16,-56,-26
-17,-56,-25
-16,-56,-25
-16,-56,-25
-16,-56,-26
-15,-57,-25
-16,-57,-25
-14,-56,-24
-16,-56,-25
-16,-56,-26
-16,-57,-24
-15,-57,-24
-16,-57,-25
-15,-58,-26
-15,-58,-25
-15,-58,-24
-16,-58,-24
-18,-57,-23
-19,-57,-27
-18,-57,-26
-16,-56,-22
-15,-57,-20
-16,-57,-20
-19,-56,-23
-18,-56,-22
-16,-58,-21
-16,-58,-21
-19,-59,-22
-18,-59,-22
-18,-58,-22
-15,-60,-20
-15,-61,-21
-15,-62,-19
-18,-57,-22
-17,-61,-19
-27,-64,-25
-30,-65,-24
-31,-62,-25
-28,-60,-28
-25,-57,-29
-8,-49,-17
-6,-50,-8
-15,-47,2
-31,-41,-8
-13,-44,-13
-14,-45,-5
-52,-47,-11
-27,-48,3
-38,-46,3
-41,-42,-1
-35,-40,3
-39,-45,2
-41,-53,2
-42,-55,1
-43,-53,-4
-39,-55,-1
-39,-54,-2
-40,-53,-5
-42,-52,-5
-44,-54,-2
-36,-56,0
-36,-55,-3
-40,-59,9
-41,-55,8
-39,-48,0
-40,-49,14
-40,-46,12
-39,-47,6
-36,-51,6
-37,-54,9
-30,-58,8
-30,-58,8
-37,-60,12
-37,-61,12
-34,-55,13
-32,-53,12
-33,-53,14
-26,-53,15
-29,-53,15
-32,-55,15
-30,-56,15
-29,-56,15
-27,-57,12
-25,-57,12
-29,-57,14
-26,-57,15
-28,-57,13
-21,-56,13
