subject,dur_min,eda_dz,eda_draw,eda_base_raw,hr_dz,hr_draw,hr_base_raw
7A,11.0,-2.8814361912389628,-0.3951859509722224,5.014258955138889,-0.7245092362011848,-3.1978611111111093,86.82651111111112
E4,9.0,-1.2903152842421552,0.15169799944444495,4.1909780876388885,-0.4581961061155524,-2.9285500000000013,93.78741666666667
E4,6.0,1.1269130294676208,1.3376659106944448,0.6675557422222222,-0.5358084687919437,-10.47256111111112,86.81322777777778
7A,60.0,-1.5616884284860473,4.308896476388888,3.524199817777778,-0.7528183521909566,-4.728327777777778,97.32076111111111
7A,23.0,-0.5084972115405414,-2.424369740555556,6.623690182222222,-1.2515071971603515,-13.479605555555551,93.58183888888888
E4,16.0,-1.029947799975918,1.4358860577777781,5.335052405972222,0.5070993818866584,8.247922222222229,85.0928111111111
E4,32.0,0.5326474479837336,1.3415988015277787,5.463938847638888,-1.3206518342975304,-20.15186111111113,88.94571111111112
E4,43.0,0.861696728574763,0.8410130427492724,1.218192146834061,-0.45716309035959857,16.939025024437925,83.24634164222874
E4,14.0,-0.43897055157354514,-0.10406424143656712,0.45298930643656715,-0.07513948297407325,3.948444067796629,70.29635593220338
7A,94.0,0.9198377760291757,0.5289007308333331,1.0422305250000001,1.3834246191851471,10.802716666666669,81.7565
7A,15.0,4.129825900132769,1.4921508963888885,0.7239910540277777,-0.1827711230284223,0.4271277777777982,84.62193888888888
7A,40.0,14.713251985034084,1.42352687,0.4318433216666666,0.33999900055546617,8.391161111111103,89.68800555555556
7A,10.0,-0.10762738668030902,4.1253808873611115,4.424519356805555,-0.05791719392915032,1.6026111111111163,89.74632222222222
7A,41.0,8.618282239606705,1.4514155963888888,0.6414760023611111,-0.21227064089601821,4.051005555555548,85.23236111111112
7A,32.0,0.7982806606047763,1.4080554651388888,1.2194320640277776,-1.5697201141009471,-6.943949999999987,98.46721666666666
94,8.0,-0.13364676849134494,24.07314674875,12.1343320875,0.2978312557900284,5.072183333333328,95.8649
94,12.0,1.3130612512013315,29.227238239027773,5.315000937638889,0.35387842100727396,5.733450000000005,91.34665
CE,13.0,0.57433671459466,0.04448472883863966,0.06692292366136035,-0.2983791579191776,-5.3022719630709645,82.91228862973762
CE,36.0,-1.1606104704619278,-0.02882382555555557,0.19957414430555556,-0.10694457330117957,-2.671177777777771,78.46636111111111
CE,23.0,-0.3875883044414925,-0.04849197847222225,0.1840830213888889,0.4926307410709395,4.7500499999999874,72.18861666666668
6B,24.0,0.2560465920719989,0.11620319208333335,0.3778111533333333,-0.07925121862240661,-1.2711499999999916,80.95915
7A,7.0,6.258736174381757,0.8194551655354448,0.2858973761312217,-0.285794177187176,-4.565624019329164,86.39227401932916
6B,12.0,0.7023373966902681,1.6241430465277782,1.9301628247222222,-0.6009564197454005,-6.712888888888884,94.67472222222223
5C,23.0,0.5434950602522365,0.007288219722222225,0.11177269569444444,0.1940827846487055,-1.2593444444444373,77.76594444444443
E4,9.0,107.9626046188684,7.987652383333333,0.4858453129166667,-0.657677837961905,-5.333627777777778,80.19339444444445
5C,8.0,1.2492770215429854,0.19603131080873998,0.23765158669125996,-0.7830828761522668,0.8835514261266297,76.92249857387337
5C,29.0,0.41055412345146125,0.016405335277777766,0.3157718276388889,0.3126174768625734,6.71646111111113,82.48015555555554
E4,8.0,81.99841369528984,5.030381872222222,1.5368890640277784,-0.3207349733727952,-2.3369499999999874,82.78961666666666
6B,10.0,0.07822935444462698,-1.1100173582567636,2.36567397492343,-0.9363297041115409,-11.654505448470829,100.28013878180417
6B,49.0,-0.5266805231371925,0.02010088638888885,0.38109972444444445,-0.46217757219159744,-2.1120611111111174,80.27366111111111
E4,13.0,4.333337720674565,10.447840134444446,1.970209484722222,0.9733429360051532,6.386677777777777,80.92330555555556
E4,9.0,-12.844246792294017,3.706396272777779,4.161560568472222,-0.28564567301360033,-1.2736277777777758,79.78089444444444
6B,9.0,-0.12430566900379653,-0.08091844791666669,0.9003773408333332,-0.12875302923418716,-0.16601666666667825,89.42531666666667
6B,31.0,1.0188626350893726,2.063456558984499,1.6170933022655007,0.14071644044280407,-2.9816259615384695,88.61164262820513
CE,13.0,1.994799705349994,0.023628607222222237,0.03834513069444444,-0.6423213468182268,-12.996327777777765,79.31974444444444
7A,32.0,0.5323235753778784,4.097697727777778,2.6125419422222222,0.3579898624963165,9.34952222222222,80.38684444444445
7A,7.0,-0.6992557369557061,-6.451532865183092,8.602493778933091,0.09879728080962963,-1.0236787878788078,80.72661212121213
6B,45.0,-0.8504795695845226,3.5197959094444435,7.158675161388889,-0.8730363911966932,-4.3151222222222,90.65092222222222
E4,28.0,1.0700850887011693,0.982036041483628,5.090272715599705,1.0333691988147673,15.411653162836657,90.15573017049668
E4,152.0,-0.9129506840079025,-1.3293679920833332,6.2827390625,-0.6875047816182384,-10.178849999999983,103.10078333333333
6B,101.0,0.2894609069520083,0.29285308402777765,1.274530148888889,0.13297681533354636,-3.5354944444444385,84.45474444444444
6B,33.0,1.8172196876917186,17.911443226764206,7.722817631152461,-0.20787185704896305,-5.125668115942034,96.4004347826087
6B,35.0,0.7705862050563413,1.2023740915277779,1.5153688055555554,0.5000868115329078,5.424261111111122,79.36995555555555
7A,12.0,1.076553695942146,0.02009407983757064,0.17752578474576272,3.6977900501215797,23.46746742424243,72.19621590909091
7A,9.0,1.8098615563910916,0.3989513223393167,0.3903947676606833,0.15698837751011918,-16.05066394874781,92.41066394874781
94,27.0,1.276890500447313,2.506443813055555,2.677900599027778,0.9770975390806327,13.027538888888884,78.95374444444445
E4,80.0,1.0143811075495557,13.108461928333334,7.37996898875,-0.7864518165187336,-5.605827777777762,97.32512777777777
E4,34.0,1.4886361183337216,11.715708482083334,8.52741062,-1.0788764385683514,-10.546038888888887,89.59477222222222
7A,2.0,-0.12421083518857945,0.12876372185960588,0.3481155406403941,0.10405425915457894,4.907065861214377,84.16538413878563
E4,26.0,0.09217345989925495,7.039544235305373,9.789380878861296,0.06826326788534395,-2.188235801340639,84.13795246800731
7A,6.0,-0.10575275547527063,0.054624412115534704,0.8449989287177987,1.248380595287932,14.785203769140168,83.54346289752651
7A,5.0,-0.18114918758390708,-0.20085730362148457,0.7028065811111112,0.11569210367135224,3.5326607422775282,85.35609444444445
CE,323.0,1.2481688646578273,0.006580971019358728,0.07997181064730793,0.5802453889491057,19.313190505173452,68.02080949482654
7A,25.0,2.233401010073257,0.2104521226019982,0.4447971819813352,0.20841111561249231,1.3667225234996323,84.20069414316703
94,4.0,-0.9260852860220938,0.06732239598360656,0.24803150901639343,-0.08233767798656555,-1.1037961325966847,94.86069613259669
E4,29.0,5.013726059507425,13.51724919388889,3.7224046986111117,-0.8994254844764206,-8.315111111111108,90.31919444444443
E4,10.0,-0.8955921775190772,-2.711260699009445,8.272684958592778,0.08328942714472984,4.043417501565429,89.46733249843457
CE,6.0,6.367282656365784,0.16957970430555555,0.11509458569444445,-0.2344406557468782,-0.3798833333333249,82.78519999999999
7A,7.0,-1.2696902960799783,-0.7318266559722224,1.908176908888889,0.5177122810042469,3.3160611111110967,83.42512222222223
7A,11.0,0.3004004395620312,1.2487703859690802,0.5816496381975867,2.3960257100181166,22.464328774062807,80.90150455927052
7A,19.0,1.6514517602843453,1.312334893888889,0.7128328677777778,-0.5681912383720845,-2.9100277777777706,95.00046111111112
E4,7.0,-3.396796188734873,1.408491638500875,8.183671401291512,-0.49691549887805614,-5.840925598942505,89.0029981378026
E4,9.0,-3.258116050736578,-5.609149468317536,8.46472013665087,0.4385509594332253,-5.241194749403348,82.93379474940335
E4,43.0,19.05730182335376,4.583899425694445,0.45718713305555553,0.14841899273389397,1.8908333333333331,80.66645
15,11.0,-0.02794303997517067,0.6831497413888901,4.405688361527777,-0.6845640866862642,-5.944377777777788,89.37429444444444
15,22.0,-0.6824327497208578,-1.2670569213925305,3.466018819725864,-0.1823893324107526,2.919843764987988,82.087206235012
F5,6.0,0.41245717689857564,1.612878949639255,0.2700281232774116,-0.6423902592515968,-10.329427004219397,90.08949367088607
F5,6.0,9.813152689835407,0.6881685959722222,0.3608101944444445,0.3542605643397033,5.246938888888906,77.24637777777777
F5,3.0,15.09782457085206,0.8125819394444442,0.5127446434722223,0.5590878663765467,8.377011111111102,90.2196888888889
F5,4.0,-0.26720323251787576,-0.08496170375,0.11902407708333335,0.11532606448530763,4.032100000000014,89.54876666666667
F5,5.0,13.01310138100926,0.9172216505555555,0.06230112319444445,0.21672952917418348,1.3905388888888979,82.63296111111111
8B,6.0,-0.23770685581563514,-0.24156776126766016,0.5884155931102362,-0.8353353774734866,-3.334831902159763,78.01712698412697
8B,8.0,1.7751576852908364,0.3089263996321299,0.35073118078453663,0.5267880591759548,3.8391768439108063,75.85885648942252
8B,8.0,1.1707700372594438,0.7195363127777777,0.6857911409722223,0.8982139248478597,7.818966666666654,80.61196666666667
F5,6.0,133.839045330929,3.4424516430522925,0.18348216361437458,2.2168560810197238,8.37625329160872,78.77363004172462
F5,11.0,106.71250273903766,6.950143367777777,0.3995164097222222,0.0421735224706109,0.5437111111111363,80.91913888888888
F5,12.0,3.5380917112100567,3.5440392266666665,1.1588989258333333,0.17709318760517173,2.3831611111111215,81.62822222222222
6D,11.0,-0.4987654678223252,0.016897741250000098,0.6084170633333332,0.4864485315356888,7.706300000000013,87.28609999999999
F5,5.0,2.1145144164638574,0.6358185177777779,0.2669211993055556,0.8054772653006064,7.068622222222231,89.8166611111111
8B,7.0,1.3598056935848508,1.287369341111111,0.6472474009722222,1.0413964637603863,13.321733333333313,78.75306666666668
8B,5.0,-0.4030122010519115,-0.5262927675,1.2570359845833334,-0.9303705637410878,-6.341883333333328,84.72583333333333
8B,16.0,-0.9318514008319775,0.8402179233333331,1.049072885,0.11122451089305235,5.45334444444444,86.64297222222221
F5,14.0,6.862846013402696,2.6948787798611114,0.2317808126388889,0.09335776302432529,0.6190055555555602,95.44764444444445
F5,24.0,10.01692179325085,2.4224530875,0.1319930725,0.4606679851021912,1.5695055555555513,85.62777777777778
F5,4.0,11.212846287099914,0.7212271322222223,0.17234100944444444,0.22927425682965694,0.5307833333333463,84.93991666666665
8B,4.0,0.5919406287307473,4.741444167730915,6.541402677361111,-0.6456060718435743,-4.978057805044315,98.48462222222223
F5,10.0,81.32621864939227,10.915970765416668,0.22456663791666667,-0.4363781134848612,-2.453444444444443,95.97514444444445
DF,4.0,22.045216290504108,0.13449861583333336,0.08683004999999999,0.41456315476774064,9.509472222222229,78.69484444444444
F5,13.0,-0.902311816314955,0.597899429364035,4.271054979385965,-0.1213204768431369,1.2061156342182926,84.99001769911504
F5,14.0,0.16918352274987525,-0.2590282226707432,0.9754164530874099,-0.27140302950806844,2.3877245216922773,81.54430881164106
F5,9.0,3.624999975406441,0.6033230254166666,0.43156150708333335,0.5994714846158211,4.2140388888888936,76.70524444444445
8B,58.0,-0.4926676127215608,0.5250260637499999,2.8748217420833333,-0.26836525542112155,1.2455222222222346,87.83247777777777
F5,6.0,-8.1480741605316,0.41234377881313033,4.748380820277778,-0.09653720239099323,-2.8946835349868962,89.78923888888889
8B,7.0,36.63705732187683,1.4117760175,0.2067375725,-0.42291920602437977,-5.377827777777767,88.43321111111109
F5,12.0,-3.594329878720668,5.298060955416664,2.87827071125,-0.4586604137927927,-6.462011111111124,90.69919444444446
F5,14.0,-0.8896674142611676,0.22812089999999996,2.429754399166667,-0.27921163761315754,-1.887155555555566,95.75598888888891
8B,8.0,2.0813336550596984,1.1015224684722225,0.5266841411111111,0.13354498993552907,0.7428666666666572,82.62720000000002
15,27.0,-0.16893384196752237,2.3472474476388894,1.1121048252777777,-0.4505298830155737,-3.671266666666668,86.69980000000001
15,23.0,-0.7256835583499507,0.07237570736111065,3.1466190459722223,0.3093600781469624,2.449138888888882,81.35246111111111
F5,5.0,1.3745200085809302,2.521576966509662,0.6299547068236716,-0.037146807783316554,-3.548439716961923,88.75215638362859
F5,7.0,196.99907549584444,4.82356063125,0.11169928125,-1.3133676132057084,4.074850000000012,88.72391666666665
15,13.0,-0.31671650685252895,2.3503856262499996,7.566324282916667,-0.32709971100553115,-1.2266833333333267,91.37786666666666
15,9.0,-4.231958262800253,-7.725565650138888,8.857704593888888,-0.24149862481534357,-3.264633333333336,86.24455
