sec_from_onset,eda_mean,hr_mean,eda_se,hr_se,eda_n,hr_n
-1800,0.3695128960853529,0.26835491816904056,0.14794771610823498,0.14231914039028845,102,102
-1799,0.36240964593103603,0.2650186239673123,0.14611279745247,0.14165252803290265,102,102
-1798,0.358061118775658,0.2611898965582763,0.14947435345131316,0.14094380256308334,102,102
-1797,0.3383275580899701,0.2580825575679467,0.14714737704989966,0.140096036202382,102,102
-1796,0.37072553883689113,0.25658258878489837,0.14768064271314843,0.13922197474600004,102,102
-1795,0.3828994291807261,0.2546504411185905,0.14864247442134923,0.1383272001290397,102,102
-1794,0.40389573235955395,0.2526952877301069,0.1525908262373113,0.13755020624401634,102,102
-1793,0.38454576422070375,0.2511536059950698,0.14902086807974865,0.13649218380923858,102,102
-1792,0.3809351298498614,0.24998143838414535,0.152874404014825,0.13575238133433357,102,102
-1791,0.37440617438426743,0.24840236823656087,0.15334679908135512,0.13473285415360675,102,102
-1790,0.38868865745254794,0.24863177519193816,0.1515803966575491,0.1339154601252023,102,102
-1789,0.3940302177733809,0.24918979135653388,0.1502206758206097,0.13315328117028133,102,102
-1788,0.35336435787762044,0.24915392277965423,0.14790270328375338,0.13232864256340374,102,102
-1787,0.4029491592440932,0.2505271357649912,0.1462341703365187,0.13167966959677269,102,102
-1786,0.37085125872536073,0.25218463817830283,0.1383150271271522,0.13105380507420356,102,102
-1785,0.3592830656399174,0.25497242671374626,0.13706857313382706,0.1305456266889757,102,102
-1784,0.41069962186281755,0.25760052147484436,0.14275475717609032,0.12988733811828568,102,102
-1783,0.4379506076805913,0.260028643512367,0.14933643151502599,0.12922809028489557,102,102
-1782,0.4248431792174474,0.2625852496217903,0.1517677885084132,0.1284348230437102,102,102
-1781,0.4372081982114019,0.2648088471299445,0.14784889997007974,0.12768640357645683,102,102
-1780,0.4317125106903177,0.26684679882977386,0.1510223328393089,0.12689182182774417,102,102
-1779,0.4560932713935177,0.26726911190504804,0.1521805488955884,0.1258261935261962,102,102
-1778,0.4363207929544403,0.2671758157828168,0.148299494125939,0.12492774050906896,102,102
-1777,0.4248488925540273,0.26771550813006006,0.15138553463779506,0.12429712986439506,102,102
-1776,0.40836623365796465,0.26788337959011105,0.15172811018377635,0.12369699990697382,103,102
-1775,0.38283849541211873,0.26815245074727645,0.14965415370018129,0.12303457491209312,103,102
-1774,0.36748909754889575,0.268578107990075,0.1466059639533873,0.12249262960140887,103,102
-1773,0.37635238366334967,0.2681729154552634,0.14529960322178181,0.12185788734501457,103,102
-1772,0.4078900224773624,0.2688009000463547,0.14238709792917956,0.1212447679545174,103,102
-1771,0.41212435659043356,0.27067365103749164,0.14333994596549574,0.12084741965185511,103,102
-1770,0.41598696336239355,0.27317959893292887,0.14332773429418114,0.12043260968599369,103,102
-1769,0.39739017495197143,0.27609812822037905,0.14047145407152675,0.11999966989069963,103,102
-1768,0.3879208060786746,0.2777537093255018,0.1377183554158188,0.11963006450377421,103,102
-1767,0.385304662884837,0.2790479729086527,0.13472713860143476,0.11922453722026752,103,102
-1766,0.4140051524809354,0.2891323826587625,0.14183800017052883,0.11815391412693096,103,103
-1765,0.40761433230857513,0.29046696957711193,0.13811374999781953,0.11795748703743052,103,103
-1764,0.4054381687797937,0.2925369353505818,0.1377078605574239,0.11778280412137763,103,103
-1763,0.39649346206599173,0.2933548669023583,0.13499038331349758,0.11746036496974002,103,103
-1762,0.40750310564156356,0.2953547247377804,0.13701649131163376,0.11718207900204226,103,103
-1761,0.40497679029428235,0.2970530233999272,0.1381944570850497,0.11692583010063418,103,103
-1760,0.3995237185818149,0.2997817498597087,0.14038425209275684,0.11670346409880332,103,103
-1759,0.37647111600876904,0.30292561748294733,0.1354499248546526,0.11668858245678655,103,103
-1758,0.3980472974054379,0.30591558072937536,0.14018595704359793,0.11680606279203824,103,103
-1757,0.37257713040766166,0.3085820607416259,0.13300696360201375,0.11683331336321082,103,103
-1756,0.3723049049957985,0.31114653183620355,0.1370045438402957,0.11687751317590332,103,103
-1755,0.40809653048413885,0.3130470001729474,0.14044948674008578,0.11645789406751832,103,103
-1754,0.4175643231838,0.3147200448886161,0.13652965135031972,0.11599521381324683,103,103
-1753,0.4237920533128377,0.31468474952371256,0.14044810949801365,0.1154934048128217,103,103
-1752,0.40506445266972146,0.3154486930444899,0.14017042074855968,0.11504232218861977,103,103
-1751,0.4227206191449337,0.3155833329253986,0.13949459823022684,0.11459267760525779,103,103
-1750,0.426668405958377,0.3162478684619129,0.1416769067179486,0.11410947664661354,103,103
-1749,0.42448039894901773,0.3161312981966211,0.14167122772017807,0.1135803856490038,103,103
-1748,0.42603687160016623,0.31571617676591135,0.14138214331175486,0.11307429479249782,103,103
-1747,0.40023972188976764,0.315719178751568,0.1432456359360611,0.11250854834247545,103,103
-1746,0.40134463434640644,0.3151963931939802,0.14296251701291224,0.11208230309817903,103,103
-1745,0.39843618775403195,0.31325375045255643,0.1423661576788616,0.11154984630620918,103,103
-1744,0.41645166210886475,0.31151736505477345,0.1405295140430597,0.11092721214639688,104,103
-1743,0.4096217390165314,0.3094722732595884,0.1445398311190904,0.11024750813828758,104,103
-1742,0.383771909864763,0.30686100256430954,0.14393736998306716,0.10975932989791624,104,103
-1741,0.38460909318657877,0.304599449912904,0.14309076640902835,0.10921677962150517,104,103
-1740,0.37326553695517606,0.3007095383113492,0.13876825973643375,0.10841541621791144,104,103
-1739,0.3614117762603279,0.29539328445625934,0.13677386195530744,0.10736084916290116,104,103
-1738,0.3722060226834444,0.2896221458849547,0.13609760194435774,0.10643062372957268,104,103
-1737,0.3830613552283354,0.28357420060048977,0.13427344589322457,0.10546936420047914,104,103
-1736,0.37013531920448955,0.2777042171374288,0.13566624600130076,0.10448227477768529,104,103
-1735,0.3683440569355636,0.2720504940314803,0.1344246514722216,0.1035912407359455,104,103
-1734,0.3705594834953904,0.2583075742218046,0.13514523805933165,0.10207456903522673,104,104
-1733,0.38442643860079456,0.2543232127684851,0.13487309963611563,0.10144570943241686,104,104
-1732,0.37190809575944556,0.25156783177247505,0.13956547338085504,0.1010529180636637,104,104
-1731,0.3542317186600362,0.24870155790295992,0.13661006142855353,0.10074479604848657,104,104
-1730,0.36287111971826236,0.24505478368843558,0.13535047043405504,0.10040894314096696,104,104
-1729,0.40253892617897036,0.24054040655473857,0.13745771800073725,0.09994132586651325,104,104
-1728,0.42303194531173466,0.23656893730226128,0.1397616285528774,0.09941433652514563,104,104
-1727,0.4018556752121698,0.23201710128208053,0.1368594952470291,0.09881027865802415,104,104
-1726,0.37797250572365315,0.22769548169656798,0.13446629747116834,0.09808962484355796,104,104
-1725,0.3995089425270085,0.22247971184235388,0.1344331023719924,0.0974335268122347,104,104
-1724,0.4207356700666311,0.21697976029139704,0.13564002720781063,0.0969345501701212,104,104
-1723,0.3948979159168058,0.21200444942586022,0.13540713218034087,0.0963640554377549,104,104
-1722,0.39197996924444717,0.2070768310032286,0.13491723156386085,0.0959111073875718,104,104
-1721,0.4162157108419471,0.2014947308457556,0.13945328685219907,0.09546354911064946,104,104
-1720,0.40779027946499286,0.19645048278690663,0.1385316741978345,0.09497974746250139,104,104
-1719,0.3830922074072151,0.19131715978312835,0.1363519031848719,0.09456827201932799,104,104
-1718,0.36073335512637716,0.1857322595311552,0.1336322993574804,0.09404193249911298,104,104
-1717,0.3512715167684485,0.17979730241266442,0.13362238053814493,0.09339006396466012,104,104
-1716,0.3581892261318069,0.17406247408468115,0.13357577106694268,0.09285525693895129,104,104
-1715,0.3483912233879189,0.1680939948227893,0.13098964791040993,0.09231145339598973,104,104
-1714,0.35693412912586,0.16170002920102805,0.13037166020863367,0.0916658043726424,104,104
-1713,0.40255441529737035,0.1560572632072434,0.13750947300006008,0.09106410492847349,104,104
-1712,0.39049438688132815,0.1501361496812795,0.1354531754659441,0.0905883941721541,104,104
-1711,0.3579585530036589,0.14410772823109302,0.13273296182881122,0.09016182300104975,104,104
-1710,0.3618958649654746,0.13838048674779657,0.13349449900668386,0.08975176953729429,104,104
-1709,0.3662201927615044,0.13344184047317784,0.1351703533373487,0.08931351278434001,104,104
-1708,0.36143481539635963,0.12858760242366696,0.13471620734486647,0.08884200990566476,104,104
-1707,0.35269578747802,0.1244216583222333,0.13449919199105223,0.08835358836144036,105,104
-1706,0.3670320780516782,0.11956353344164568,0.13358383285043127,0.08768377934016246,105,104
-1705,0.3715092510348796,0.11405875687318145,0.13269459166835204,0.08696723926647111,105,104
-1704,0.3443398385865013,0.10756283185417849,0.13330869317816535,0.0861422527392089,105,104
