1590172247.000000, 1590172247.000000, 1590172247.000000
32.000000, 32.000000, 32.000000
-28,57,38
-20,60,37
-18,60,28
-22,59,37
-17,59,33
-23,58,33
-22,57,33
-18,55,29
-19,55,33
-19,55,30
-20,55,25
-20,55,26
-20,54,26
-17,54,25
-14,53,27
-16,53,27
-16,55,26
-17,56,25
-20,56,27
-18,56,27
-21,56,25
-20,56,28
-18,55,26
-21,54,25
-21,54,26
-15,54,27
-21,55,26
-21,56,25
-18,56,26
-19,55,28
-19,56,26
-19,56,27
-19,55,28
-18,55,25
-19,53,27
-20,54,27
-18,55,23
-18,54,26
-20,56,27
-19,56,26
-19,55,27
-20,56,25
-18,55,25
-20,54,26
-19,56,25
-20,55,25
-20,56,27
-19,55,26
-19,55,27
-20,56,25
-20,56,25
-21,55,26
-19,56,25
-20,55,25
-20,55,26
-20,55,25
-19,54,25
-21,55,26
-21,56,24
-21,55,26
-20,55,25
-19,55,24
-21,55,26
-20,55,25
-21,55,25
-19,56,26
-19,56,25
-22,55,24
-23,56,24
-20,56,25
-23,55,24
-22,56,25
-21,55,24
-22,55,24
-21,55,25
-21,55,26
-22,56,29
-19,57,35
-28,61,31
-27,64,32
-25,59,30
-28,62,24
-32,62,24
-22,56,22
-22,58,21
-21,54,19
-15,50,17
-24,50,16
-10,44,23
-15,44,19
-19,42,23
-20,34,24
-29,36,22
-27,32,33
-31,26,33
-33,26,40
-48,17,34
-51,19,36
-48,16,43
-58,13,41
-51,14,44
-48,13,45
-53,13,46
-47,12,48
-52,12,44
-54,13,46
-46,14,38
-56,10,49
-45,16,38
-41,13,33
-39,14,39
-48,10,43
-51,10,39
-61,6,37
-66,7,42
-54,9,51
-55,8,47
-46,2,45
-45,-2,38
-56,-11,33
-57,-7,34
-40,-8,42
-46,11,40
-50,15,42
-38,14,45
-36,23,44
-37,32,31
-30,44,17
-30,44,13
-27,46,-9
-32,56,-27
-35,55,-28
-34,57,-17
-32,56,-14
-33,61,-12
-51,44,0
-56,37,-11
-69,12,35
-75,8,47
-60,34,47
-77,24,28
-84,25,26
-66,11,23
-55,10,22
-50,7,22
-41,-1,34
-55,11,20
-58,8,14
-47,1,29
-39,2,32
-55,11,39
-52,8,40
-59,17,12
-96,17,-6
-68,9,19
-20,-7,71
-50,-41,86
-81,-1,50
-46,0,43
-29,-7,43
-37,-20,48
-61,-21,49
-62,-24,62
-34,-13,81
-40,-7,66
-37,6,35
-47,25,19
-52,32,17
-42,46,9
-22,50,8
-3,58,24
-29,34,32
-67,32,8
-29,39,15
-72,-6,38
-67,-1,34
-41,17,49
-42,14,48
-52,8,41
-35,22,41
-38,19,42
-45,19,43
-41,20,39
-47,27,35
-41,23,40
-40,25,41
-45,24,41
-37,26,40
-37,29,38
-45,32,33
-43,32,35
-34,35,33
-51,37,22
-51,36,24
-33,36,27
-43,37,24
-45,38,31
-35,37,30
-42,38,25
-48,40,22
-41,41,18
-44,39,16
-50,40,22
-45,41,24
-43,41,21
-42,41,18
-39,40,17
-52,35,18
-55,32,19
-42,32,23
-48,27,28
-51,24,22
-41,18,30
-59,12,33
-61,3,30
-40,0,47
-59,-5,43
-51,-5,51
-44,-2,44
-55,-4,38
-56,-3,30
-52,-4,36
-33,-3,52
-77,-4,29
-68,5,35
-55,-3,30
-53,-5,38
-60,-14,32
-53,-25,46
-52,-30,44
-52,-20,34
-47,-20,43
-41,-17,44
-53,-12,34
-56,-9,36
-61,-9,37
-61,1,35
-60,5,31
-61,15,17
-66,20,12
-55,24,27
-49,21,26
-52,23,20
-44,26,13
-45,25,18
-47,26,13
-56,23,5
-57,22,5
-51,25,5
-58,22,2
-58,18,6
-62,15,-5
-79,12,-18
-70,6,-10
-64,15,-13
-56,13,-10
-67,15,-12
-61,17,-7
-63,20,-10
-65,26,-14
-59,26,-11
-62,24,-10
-60,31,-12
-56,31,-12
-59,31,-12
-59,32,-9
-51,36,-9
-52,37,-6
-54,35,-8
-47,34,-5
-47,34,-1
-51,34,6
-57,34,7
-61,36,5
-49,34,15
-60,40,7
-56,38,6
-54,38,5
-55,39,6
-45,37,16
-51,37,8
-50,40,6
-58,38,0
-53,39,-2
-50,39,4
-54,37,4
-48,39,4
-47,43,7
-41,45,12
-40,47,7
-38,52,14
-36,47,17
-37,51,18
-41,49,21
-30,49,22
-29,49,25
-30,51,29
-17,47,30
-14,49,30
-13,47,33
-16,47,37
-17,48,38
-14,47,42
-13,45,43
-11,45,39
-16,47,40
-13,39,34
-33,43,28
-33,45,30
-30,42,24
-40,37,19
-33,36,24
-44,35,16
-51,39,8
-49,46,7
-50,48,12
-56,47,15
-53,46,19
-55,45,12
-50,43,14
-43,39,17
-48,43,7
-47,38,10
-47,40,18
-46,41,20
-44,41,16
-54,42,8
-52,42,8
-53,42,9
-46,43,8
-47,42,5
-53,38,10
-50,38,9
-53,38,8
-50,37,13
-48,39,10
-52,39,8
-51,40,5
-52,41,2
-51,40,0
-50,42,2
-51,41,4
-54,41,6
-51,43,7
-53,43,8
-50,44,6
-47,47,5
-48,41,11
-48,43,9
-43,45,3
-42,42,14
-43,44,15
-43,44,3
-44,47,2
-40,40,17
-38,42,15
-39,42,14
-42,39,21
-46,38,27
-43,39,23
-52,40,15
-52,38,17
-48,45,12
-50,39,11
-51,41,8
-60,43,2
-55,42,5
-51,43,5
-54,44,2
-52,42,7
-52,44,3
-51,43,4
-52,44,4
-52,45,0
-53,45,-2
-55,44,-2
-53,44,-3
-50,44,-2
-53,43,-1
-50,43,0
-50,43,-3
-49,43,-3
-49,43,-5
